name,date,open,high,low,close,price,market_cap,total_volume
Bitcoin,04/29/2013,135.3,141.96,135.3,135.3,135.3,1501657493.0,0.0
Bitcoin,05/02/2013,117.0,117.0,91.01,91.01,117.0,1298951550.0,0.0
Bitcoin,05/06/2013,111.25,118.33,106.4,106.4,103.43,1148667722.0,0.0
Bitcoin,05/10/2013,112.64,118.78,112.64,113.01,91.01,1011066494.0,0.0
Bitcoin,05/14/2013,114.71,117.18,114.16,114.16,111.25,1236351844.0,0.0
Bitcoin,05/18/2013,115.5,123.88,115.5,120.5,116.79,1298377788.0,0.0
Bitcoin,05/22/2013,122.58,125.75,122.58,125.75,118.33,1315992304.0,0.0
Bitcoin,05/26/2013,131.7,134.6,128.99,128.99,106.4,1183766500.0,0.0
Bitcoin,05/30/2013,129.18,132.13,127.4,127.98,112.64,1253655040.0,0.0
Bitcoin,06/02/2013,129.09,129.09,121.16,121.16,113.0,1258130700.0,0.0
Bitcoin,06/06/2013,121.31,121.71,119.0,119.0,118.78,1322989457.0,0.0
Bitcoin,06/10/2013,110.09,110.09,99.75,105.99,113.01,1259239352.0,0.0
Bitcoin,06/14/2013,108.9,108.9,98.4,98.4,114.713,1278708679.0,0.0
Bitcoin,06/18/2013,99.99,106.55,99.99,106.55,117.18,1306721052.0,0.0
Bitcoin,06/22/2013,107.9,110.91,107.25,107.25,114.5,1277278988.0,0.0
Bitcoin,06/26/2013,108.0,108.0,102.44,103.39,114.156,1273849681.0,0.0
Bitcoin,06/29/2013,99.66,99.66,93.33,95.39,115.5,1289277412.0,0.0
Bitcoin,07/02/2013,97.5,97.5,89.49,90.8,123.1,1374605382.0,0.0
Bitcoin,07/06/2013,78.8,78.8,67.81,68.08,123.88,1383755085.0,0.0
Bitcoin,07/10/2013,77.5,85.75,76.39,85.75,120.501,1346499262.0,0.0
Bitcoin,07/14/2013,93.8,95.58,88.06,94.0,122.58,1370131821.0,0.0
Bitcoin,07/18/2013,97.3,98.98,88.79,88.79,122.9,1374154118.0,0.0
Bitcoin,07/22/2013,91.57,91.7,89.28,91.7,123.0,1375791900.0,0.0
Bitcoin,07/26/2013,94.58,96.95,94.13,94.13,125.748,1407041528.0,0.0
Bitcoin,07/30/2013,94.01,110.34,94.01,110.34,131.7,1474180657.0,0.0
Bitcoin,08/02/2013,106.23,106.23,101.61,103.7,130.77,1464316690.0,0.0
Bitcoin,08/06/2013,104.86,106.75,104.86,106.75,134.6,1507769010.0,0.0
Bitcoin,08/10/2013,101.67,103.77,101.67,103.77,128.985,1445444606.0,0.0
Bitcoin,08/14/2013,105.18,111.87,105.18,111.87,129.179,1448115967.0,0.0
Bitcoin,08/18/2013,109.87,118.78,109.87,118.78,132.13,1481781795.0,0.0
Bitcoin,08/22/2013,120.5,122.5,120.0,120.0,127.401,1429308634.0,0.0
Bitcoin,08/26/2013,120.44,125.67,120.44,125.67,127.98,1436386730.0,0.0
Bitcoin,08/30/2013,123.02,137.76,123.02,137.76,129.09,1449499974.0,0.0
Bitcoin,09/02/2013,138.17,138.17,137.17,137.51,121.3,1362684200.0,0.0
Bitcoin,09/06/2013,135.21,135.21,123.73,123.73,121.16,1361765704.0,0.0
Bitcoin,09/10/2013,121.77,131.65,121.77,131.65,121.309,1364113640.0,0.0
Bitcoin,09/14/2013,134.22,135.05,129.95,129.95,121.714,1369233814.0,0.0
Bitcoin,09/18/2013,131.48,132.06,130.23,130.23,119.0,1339234925.0,0.0
Bitcoin,09/22/2013,128.57,128.57,126.73,126.73,110.09,1239395972.0,0.0
Bitcoin,09/26/2013,126.09,131.84,126.09,131.84,108.401,1220874393.0,0.0
Bitcoin,09/29/2013,133.93,140.28,131.65,131.65,99.7497,1123844958.0,0.0
Bitcoin,10/02/2013,132.55,132.55,123.07,123.07,105.99,1194605341.0,0.0
Bitcoin,10/06/2013,128.26,129.57,127.56,128.38,108.9,1227904672.0,0.0
Bitcoin,10/10/2013,125.72,130.9,125.72,130.27,108.4,1222819750.0,0.0
Bitcoin,10/14/2013,135.35,143.89,135.35,143.89,102.769,1159766150.0,0.0
